# 大体同じものが出力されるはずだが，表示される順番が異なることがあるので注意．
----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
      Bottleneck-256           [-1, 1024, 8, 8]               0
          Conv2d-257            [-1, 256, 8, 8]         589,824
          Conv2d-258            [-1, 256, 8, 8]         262,144
     BatchNorm2d-259            [-1, 256, 8, 8]             512
     BatchNorm2d-260            [-1, 256, 8, 8]             512
          Conv2d-261           [-1, 1024, 8, 8]         262,144
          Conv2d-262            [-1, 256, 8, 8]         589,824
     BatchNorm2d-263           [-1, 1024, 8, 8]           2,048
      Bottleneck-264           [-1, 1024, 8, 8]               0
     BatchNorm2d-265            [-1, 256, 8, 8]             512
          Conv2d-266            [-1, 256, 8, 8]         262,144
          Conv2d-267           [-1, 1024, 8, 8]         262,144
     BatchNorm2d-268            [-1, 256, 8, 8]             512
     BatchNorm2d-269           [-1, 1024, 8, 8]           2,048
          Conv2d-270            [-1, 256, 8, 8]         589,824
      Bottleneck-271           [-1, 1024, 8, 8]               0
     BatchNorm2d-272            [-1, 256, 8, 8]             512
          Conv2d-273            [-1, 256, 8, 8]         262,144
     BatchNorm2d-274            [-1, 256, 8, 8]             512
          Conv2d-275           [-1, 1024, 8, 8]         262,144
     BatchNorm2d-276           [-1, 1024, 8, 8]           2,048
          Conv2d-277            [-1, 256, 8, 8]         589,824
      Bottleneck-278           [-1, 1024, 8, 8]               0
     BatchNorm2d-279            [-1, 256, 8, 8]             512
          Conv2d-280            [-1, 256, 8, 8]         262,144
          Conv2d-281           [-1, 1024, 8, 8]         262,144
     BatchNorm2d-282            [-1, 256, 8, 8]             512
          Conv2d-283            [-1, 256, 8, 8]         589,824
     BatchNorm2d-284           [-1, 1024, 8, 8]           2,048
     BatchNorm2d-285            [-1, 256, 8, 8]             512
      Bottleneck-286           [-1, 1024, 8, 8]               0
          Conv2d-287            [-1, 256, 8, 8]         262,144
          Conv2d-288           [-1, 1024, 8, 8]         262,144
     BatchNorm2d-289            [-1, 256, 8, 8]             512
     BatchNorm2d-290           [-1, 1024, 8, 8]           2,048
          Conv2d-291            [-1, 256, 8, 8]         589,824
      Bottleneck-292           [-1, 1024, 8, 8]               0
          Conv2d-293            [-1, 256, 8, 8]         262,144
     BatchNorm2d-294            [-1, 256, 8, 8]             512
     BatchNorm2d-295            [-1, 256, 8, 8]             512
          Conv2d-296           [-1, 1024, 8, 8]         262,144
          Conv2d-297            [-1, 256, 8, 8]         589,824
     BatchNorm2d-298           [-1, 1024, 8, 8]           2,048
      Bottleneck-299           [-1, 1024, 8, 8]               0
     BatchNorm2d-300            [-1, 256, 8, 8]             512
          Conv2d-301            [-1, 256, 8, 8]         262,144
          Conv2d-302           [-1, 1024, 8, 8]         262,144
     BatchNorm2d-303            [-1, 256, 8, 8]             512
     BatchNorm2d-304           [-1, 1024, 8, 8]           2,048
          Conv2d-305            [-1, 256, 8, 8]         589,824
      Bottleneck-306           [-1, 1024, 8, 8]               0
     BatchNorm2d-307            [-1, 256, 8, 8]             512
          Conv2d-308            [-1, 256, 8, 8]         262,144
     BatchNorm2d-309            [-1, 256, 8, 8]             512
          Conv2d-310           [-1, 1024, 8, 8]         262,144
          Conv2d-311            [-1, 256, 8, 8]         589,824
     BatchNorm2d-312           [-1, 1024, 8, 8]           2,048
     BatchNorm2d-313            [-1, 256, 8, 8]             512
      Bottleneck-314           [-1, 1024, 8, 8]               0
          Conv2d-315           [-1, 1024, 8, 8]         262,144
          Conv2d-316            [-1, 256, 8, 8]         262,144
     BatchNorm2d-317           [-1, 1024, 8, 8]           2,048
     BatchNorm2d-318            [-1, 256, 8, 8]             512
      Bottleneck-319           [-1, 1024, 8, 8]               0
          Conv2d-320            [-1, 256, 8, 8]         589,824
          Conv2d-321            [-1, 256, 8, 8]         262,144
     BatchNorm2d-322            [-1, 256, 8, 8]             512
     BatchNorm2d-323            [-1, 256, 8, 8]             512
          Conv2d-324            [-1, 256, 8, 8]         589,824
          Conv2d-325           [-1, 1024, 8, 8]         262,144
     BatchNorm2d-326            [-1, 256, 8, 8]             512
     BatchNorm2d-327           [-1, 1024, 8, 8]           2,048
      Bottleneck-328           [-1, 1024, 8, 8]               0
          Conv2d-329           [-1, 1024, 8, 8]         262,144
          Conv2d-330            [-1, 256, 8, 8]         262,144
     BatchNorm2d-331           [-1, 1024, 8, 8]           2,048
     BatchNorm2d-332            [-1, 256, 8, 8]             512
      Bottleneck-333           [-1, 1024, 8, 8]               0
          Conv2d-334            [-1, 256, 8, 8]         262,144
          Conv2d-335            [-1, 256, 8, 8]         589,824
     BatchNorm2d-336            [-1, 256, 8, 8]             512
     BatchNorm2d-337            [-1, 256, 8, 8]             512
          Conv2d-338            [-1, 256, 8, 8]         589,824
     BatchNorm2d-339            [-1, 256, 8, 8]             512
          Conv2d-340           [-1, 1024, 8, 8]         262,144
     BatchNorm2d-341           [-1, 1024, 8, 8]           2,048
          Conv2d-342           [-1, 1024, 8, 8]         262,144
      Bottleneck-343           [-1, 1024, 8, 8]               0
     BatchNorm2d-344           [-1, 1024, 8, 8]           2,048
          Conv2d-345            [-1, 256, 8, 8]         262,144
      Bottleneck-346           [-1, 1024, 8, 8]               0
     BatchNorm2d-347            [-1, 256, 8, 8]             512
          Conv2d-348            [-1, 256, 8, 8]         262,144
          Conv2d-349            [-1, 256, 8, 8]         589,824
     BatchNorm2d-350            [-1, 256, 8, 8]             512
     BatchNorm2d-351            [-1, 256, 8, 8]             512
          Conv2d-352            [-1, 256, 8, 8]         589,824
          Conv2d-353           [-1, 1024, 8, 8]         262,144
     BatchNorm2d-354            [-1, 256, 8, 8]             512
     BatchNorm2d-355           [-1, 1024, 8, 8]           2,048
          Conv2d-356           [-1, 1024, 8, 8]         262,144
      Bottleneck-357           [-1, 1024, 8, 8]               0
     BatchNorm2d-358           [-1, 1024, 8, 8]           2,048
      Bottleneck-359           [-1, 1024, 8, 8]               0
          Conv2d-360            [-1, 256, 8, 8]         262,144
          Conv2d-361            [-1, 256, 8, 8]         262,144
     BatchNorm2d-362            [-1, 256, 8, 8]             512
     BatchNorm2d-363            [-1, 256, 8, 8]             512
          Conv2d-364            [-1, 256, 8, 8]         589,824
          Conv2d-365            [-1, 256, 8, 8]         589,824
     BatchNorm2d-366            [-1, 256, 8, 8]             512
     BatchNorm2d-367            [-1, 256, 8, 8]             512
          Conv2d-368           [-1, 1024, 8, 8]         262,144
          Conv2d-369           [-1, 1024, 8, 8]         262,144
     BatchNorm2d-370           [-1, 1024, 8, 8]           2,048
     BatchNorm2d-371           [-1, 1024, 8, 8]           2,048
